planner_category,planner_subcategory,planner_specialty,planner_capability,gbd_primary_cause,gbd_cause_group,gbd_preferred_measure,gbd_secondary_measure,life_threatening_score_1_5,mortality_relevance_1_5,yll_relevance_1_5,emergency_sensitivity_1_5,score_method,source_name,source_url,extract_scope,notes
"Administration, Operations & Support Services","Access operations","Ambulance Services","Trauma Care","Transport injuries","Injuries","YLLs rate","Deaths rate",3,3,4,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; ambulance services are enabling infrastructure rather than a disease service.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use road/transport injury YLL and death rates as the primary urgency proxy."
"Anesthesia & Pain Medicine","Surgical readiness","Anesthesiology","Trauma Care","Maternal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",4,4,4,4,"Score maps GBD cause mortality/YLL urgency to planner service criticality; anesthesia gates emergency surgery and obstetric rescue.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Pair with injuries and maternal disorders when creating a multi-cause score."
"Emergency, Trauma & Critical Care","Immediate stabilization","Emergency Medicine","Trauma Care","Transport injuries","Injuries","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; emergency medicine is directly delay-sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Add ischemic heart disease, stroke, neonatal disorders, and maternal disorders for a broader emergency mix."
"Emergency, Trauma & Critical Care","Immediate stabilization","Trauma Care","Trauma Care","Transport injuries","Injuries","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; trauma mortality is highly time-sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use transport injuries, falls, burns, interpersonal violence, and self-harm for full trauma burden."
"Emergency, Trauma & Critical Care","Critical beds","Critical Care Medicine","Trauma Care","Respiratory infections and tuberculosis","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; critical care handles acute respiratory failure, shock, sepsis, and severe injury.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend respiratory infections, transport injuries, ischemic heart disease, stroke, and neonatal disorders."
"Cardiology & Cardiothoracic","Acute cardiac access","Emergency Cardiology","Emergency Cardiology","Ischemic heart disease","Non-communicable diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; acute cardiac access is delay-sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Include stroke for cardiovascular emergency planning if the service includes thrombolysis or stroke referral."
"Cardiology & Cardiothoracic","Acute cardiac access","Interventional Cardiology","Emergency Cardiology","Ischemic heart disease","Non-communicable diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; interventional cardiology addresses high-fatality acute coronary disease.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","High score does not imply every district should build a cath lab; regionalization can still be appropriate."
"Cardiology & Cardiothoracic","Prevention and follow-up","Non Invasive Cardiology","Emergency Cardiology","Ischemic heart disease","Non-communicable diseases","DALYs rate","YLLs rate",3,4,4,2,"Score maps GBD cause mortality/YLL urgency to planner service criticality; non-invasive cardiology is high-burden but less immediately life-saving than acute intervention.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use DALYs for screening/follow-up planning, YLLs for emergency prioritization."
"Obstetrics, Gynecology & Fertility","Maternal emergency","Maternal ICU","Maternal ICU","Maternal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; maternal ICU is directly tied to preventable maternal death.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; females; reproductive age if exported; rate metrics preferred","Best paired with NFHS/HMIS district maternal indicators later."
"Obstetrics, Gynecology & Fertility","Maternal emergency","High Risk Pregnancy Care","Maternal ICU","Maternal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; high-risk pregnancy care reduces delay-sensitive maternal mortality.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; females; reproductive age if exported; rate metrics preferred","Use with distance-to-CEmONC or blood-bank access when available."
